Feature abbreviations,Feature names,,,,,
max,maximum value ,,,,,
min,minimum value ,,,,,
mean,average value ,,,,,
med,median value ,,,,,
peak,peak-to-peak value ,,,,,
arv,rectification average ,,,,,
var,variance ,,,,,
std,standard deviation ,,,,,
kurtosis,kurtosis ,,,,,
skewness,skewness ,,,,,
rms,root mean square ,,,,,
rs,mean square value ,,,,,
rmsa,root mean square amplitude ,,,,,
waveformF,waveform factor ,,,,,
peakF,peak factor ,,,,,
impulseF,impulse factor ,,,,,
clearanceF,clearance factor ,,,,,
FC,frequency of center of gravity ,,,,,
MSF,mean square frequency ,,,,,
RMSF,root mean square frequency ,,,,,
VF,frequency variance ,,,,,
RVF,frequency standard deviation ,,,,,
SKMean,mean value of spectral kurtosis ,,,,,
SKStd,standard deviation of spectral kurtosis ,,,,,
SKSkewness,skewness of spectral kurtosis ,,,,,
SKKurtosis,kurtosis of spectral kurtosis ,,,,,
psdE,power spectral density entropy ,,,,,
svdpE,singular spectrum entropy ,,,,,
eE,energy entropy ,,,,,
ApEn,approximate entropy ,,,,,
SpEn,sample entropy ,,,,,
FuzzyEn,fuzzy entropy ,,,,,
PeEn,permutation entropy ,,,,,
enveEn,enveloping entropy ,,,,,
deltaDE,delta-band differential entropy ,,,,,
thetaDE,theta-band differential entropy ,,,,,
alphaDE,alpha-band differential entropy ,,,,,
betaDE,beta-band differential entropy ,,,,,
gammaDE,gamma-band differential entropy ,,,,,

